georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.995048 40.680303),,0,Church Av - Coney Island,Manhattan - Queens,-73.995048,40.680303,Subway,F G,Bk,Carroll St,6th Av - Culver,IND,F21,237,237
POINT (-73.950466 40.669847),,0,New Lots,Manhattan,-73.950466,40.669847,Subway,3,Bk,Nostrand Av,Eastern Pky,IRT,248,343,343
POINT (-73.904084 40.695602),,0,Canarsie - Rockaway Parkway,Manhattan,-73.904084,40.695602,Subway,L,Q,Halsey St,Canarsie,BMT,L19,129,129
POINT (-73.990414 40.620671),,0,Coney Island,Manhattan,-73.990414,40.620671,Open Cut,N,Bk,18 Av,Sea Beach,BMT,N05,74,74
POINT (-73.900571 40.664038),,1,Canarsie - Rockaway Parkway,Manhattan,-73.900571,40.664038,Elevated,L,Bk,Livonia Av,Canarsie,BMT,L26,135,135
POINT (-73.890549 40.820948),,1,Manhattan,Pelham Bay Park,-73.890549,40.820948,Subway,6,Bx,Hunts Point Av,Pelham,IRT,613,371,371
POINT (-73.962246 40.661614),,1,Brighton Beach & Coney Island,Manhattan & Franklin Av,-73.962246,40.661614,Open Cut,B Q S,Bk,Prospect Park,Broadway - Brighton,BMT,D26,42,42
POINT (-73.904046 40.688764),Manhattan-bound only,2,Canarsie - Rockaway Parkway,Manhattan,-73.904046,40.688764,Subway,L,Bk,Wilson Av,Canarsie,BMT,L20,130,130
POINT (-73.989344 40.741303),,0,Downtown & Brooklyn,Uptown & Queens,-73.989344,40.741303,Subway,R W,M,23 St,Broadway - Brighton,BMT,R19,14,14
POINT (-73.990531 40.699337),,0,Euclid - Lefferts - Rockaways,Manhattan,-73.990531,40.699337,Subway,A C,Bk,High St,8th Av - Fulton St,IND,A40,173,173
POINT (-73.912549 40.744149),,0,Manhattan,Flushing,-73.912549,40.744149,Elevated,7,Q,52 St,Flushing,IRT,713,457,457
POINT (-73.941617 40.798629),,0,Downtown,Uptown & The Bronx,-73.941617,40.798629,Subway,6,M,116 St,Lexington Av,IRT,622,393,393
POINT (-73.935657 40.697207),,0,Manhattan,Jamaica - Middle Village,-73.935657,40.697207,Elevated,J M Z,Bk,Myrtle Av,Jamaica,BMT,M11,97,97
POINT (-73.893509 40.866978),,1,Manhattan,Bedford Pk Blvd & 205 St,-73.893509,40.866978,Subway,B D,Bx,Kingsbridge Rd,Concourse,IND,D04,212,212
POINT (-74.178217 40.54046),,0,Tottenville,St George,-74.178217,40.54046,Open Cut,SIR,SI,Annadale,Staten Island,SIR,S17,515,515
POINT (-73.837683 40.681711),,0,Lefferts Blvd,Manhattan,-73.837683,40.681711,Elevated,A,Q,104 St,Liberty Av,IND,A63,193,193
POINT (-73.979137 40.597473),,0,Coney Island,Manhattan,-73.979137,40.597473,Open Cut,N,Bk,Avenue U,Sea Beach,BMT,N09,78,78
