total_seconds,cell_id
48540,141464
48540,56870
48540,142477
48540,141490
48540,142069
48540,84621
48540,84983
48540,142138
48540,141439
48540,100226
48540,25480
48540,142509
48540,89701
48540,142480
48540,94777
48540,141459
48540,140709
48540,84983
48540,114876
48540,142092
48540,70293
48540,142422
48540,142132
48540,142146
48540,51423
48540,94414
48540,142514
48540,85564
48540,76202
48540,81085
48540,142551
48540,141011
48540,142588
48540,100226
48540,73710
48540,142161
48540,25480
48540,142155
48540,73710
48540,139977
48540,89694
48540,141049
48540,79500
48540,94777
48540,141020
48540,142149
48540,86332
48540,142112
48540,141408
48540,56870
48540,25480
48540,141770
48540,141031
48540,88247
48540,141428
48540,139525
48540,142509
48540,140327
48540,39597
48600,55677
48600,103887
48600,140681
48600,142152
48600,141445
48600,142520
48600,140689
48600,27245
48600,141028
48600,142534
48600,141844
48600,42502
48600,141080
48600,84983
48600,141753
48600,142545
48600,86075
48600,139899
48600,142172
48600,141461
48600,140629
48600,139954
48600,56828
48600,100260
48600,142556
48600,141356
48600,83490
48600,141767
48600,141080
48600,84983
48600,86075
48600,88247
48600,27245
48600,73710
48600,141793
48600,142206
48600,141470
48600,141810
48600,141074
48600,75862
48600,61570
48600,141464
48600,56870
48600,142477
48600,141490
48600,142069
48600,84621
48600,84983
48600,142138
48600,141439
48600,100226
48600,25480
48600,142509
48600,89701
48600,142480
48600,94777
48600,141459
48600,140709
48600,84983
48600,114876
48600,142092
48600,70293
48600,142422
48600,142132
48600,142146
48600,51423
48600,94414
48600,142514
48600,85564
48600,76202
48600,81085
48600,142551
48600,141011
48600,142588
48600,100226
48600,73710
48600,142161
48600,25480
48600,142155
48600,73710
48600,139977
48600,89694
48600,141049
48600,79500
48600,94777
48600,141020
48600,142149
48600,86332
48600,142112
48600,141408
48600,56870
48600,25480
48600,141770
48600,141031
48600,88247
48600,141428
48600,139525
48600,142509
48600,140327
48600,39597
48660,55677
48660,103887
48660,140681
48660,142152
48660,141445
48660,142520
